동별(1),동별(2),동별(3),소계,5급,6급,7급,8급,9급
합계,종로구,소계,285,17,45,70,94,59
합계,중구,소계,297,15,51,70,81,80
합계,용산구,소계,353,16,51,82,139,65
합계,성동구,소계,346,17,38,101,114,76
합계,광진구,소계,342,15,45,68,175,39
합계,동대문구,소계,335,14,60,87,106,68
합계,중랑구,소계,388,16,53,84,133,102
합계,성북구,소계,406,20,73,156,98,59
합계,강북구,소계,345,13,46,69,130,87
합계,도봉구,소계,313,14,45,54,136,64
합계,노원구,소계,454,19,53,125,192,65
합계,은평구,소계,445,16,59,115,165,90
합계,서대문구,소계,330,14,35,84,146,51
합계,마포구,소계,349,16,51,84,144,54
합계,양천구,소계,435,18,64,95,161,97
합계,강서구,소계,535,20,80,114,199,122
합계,구로구,소계,382,16,49,87,141,89
합계,금천구,소계,250,10,37,36,88,79
합계,영등포구,소계,392,18,67,103,158,46
합계,동작구,소계,363,15,52,91,127,78
합계,관악구,소계,462,21,67,95,193,86
합계,서초구,소계,373,18,55,99,115,86
합계,강남구,소계,491,22,77,95,142,155
합계,송파구,소계,486,27,83,107,179,90
합계,강동구,소계,384,19,55,60,135,115
