년월,부동산 매매지수,기준금리
200311,61.5,3.75
200312,61,3.75
200401,60.7,3.75
200402,60.7,3.75
200403,60.8,3.75
200404,60.9,3.75
200405,60.9,3.75
200406,60.8,3.75
200407,60.6,3.75
200408,60.3,3.50
200409,60.2,3.50
200410,60,3.50
200411,59.7,3.25
200412,59.5,3.25
200501,59.3,3.25
200502,59.5,3.25
200503,59.7,3.25
200504,60,3.25
200505,60.3,3.25
200506,60.8,3.25
200507,61.2,3.25
200508,61.5,3.25
200509,61.6,3.25
200510,61.6,3.50
200511,61.6,3.50
200512,61.7,3.75
200601,61.9,3.75
200602,62.1,4.00
200603,62.5,4.00
200604,63.1,4.00
200605,63.6,4.00
200606,64,4.25
200607,64.1,4.25
200608,64.3,4.50
200609,64.7,4.50
200610,65.6,4.50
200611,67.5,4.50
200612,68.8,4.50
200701,69.7,4.50
200702,70.1,4.50
200703,70.4,4.50
200704,70.6,4.50
200705,70.8,4.50
200706,71,4.50
200707,71.2,4.75
200708,71.5,5.00
200709,71.8,5.00
200710,72.2,5.00
200711,72.6,5.00
200712,72.8,5.00
200801,73.2,5.00
200802,73.5,5.00
200803,74.3,5.00
200804,75.2,5.00
200805,75.9,5.00
200806,76.8,5.00
200807,77.4,5.00
200808,77.7,5.25
200809,78.1,5.25
200810,78.1,4.25
200811,77.7,4.00
200812,77.1,3.00
200901,76.7,2.50
200902,76.5,2.00
200903,76.4,2.00
200904,76.4,2.00
200905,76.5,2.00
200906,76.7,2.00
200907,76.9,2.00
200908,77.1,2.00
200909,77.7,2.00
200910,78,2.00
200911,78.2,2.00
200912,78.3,2.00
201001,78.4,2.00
201002,78.6,2.00
201003,78.7,2.00
201004,78.9,2.00
201005,78.9,2.00
201006,78.9,2.00
201007,78.8,2.25
201008,78.7,2.25
201009,78.7,2.25
201010,78.9,2.25
201011,79.1,2.50
201012,79.4,2.50
201101,79.7,2.75
201102,80.3,2.75
201103,81,3.00
201104,81.9,3.00
201105,82,3.00
201106,82.4,3.25
201107,82.7,3.25
201108,83.2,3.25
201109,83.6,3.25
201110,83.9,3.25
201111,84.2,3.25
201112,84.3,3.25
201201,84.5,3.25
201202,84.5,3.25
201203,84.5,3.25
201204,84.5,3.25
201205,84.4,3.25
201206,84.2,3.25
201207,84,3.00
201208,83.7,3.00
201209,83.5,3.00
201210,83.4,2.75
201211,83.3,2.75
201212,83.1,2.75
201301,82.9,2.75
201302,82.7,2.75
201303,82.7,2.75
201304,82.8,2.75
201305,82.9,2.50
201306,82.9,2.50
201307,82.9,2.50
201308,82.8,2.50
201309,82.8,2.50
201310,83,2.50
201311,83.2,2.50
201312,83.3,2.50
201401,83.5,2.50
201402,83.7,2.50
201403,83.9,2.50
201404,83.9,2.50
201405,84,2.50
201406,84,2.50
201407,84,2.50
201408,84.1,2.25
201409,84.3,2.25
201410,84.5,2.00
201411,84.6,2.00
201412,84.8,2.00
201501,84.9,2.00
201502,85,2.00
201503,85.3,1.75
201504,85.7,1.75
201505,86,1.75
201506,86.3,1.50
201507,86.5,1.50
201508,86.8,1.50
201509,87,1.50
201510,87.3,1.50
201511,87.6,1.50
201512,87.7,1.50
201601,87.8,1.50
201602,87.8,1.50
201603,87.8,1.50
201604,87.8,1.50
201605,87.8,1.50
201606,87.8,1.25
201607,87.9,1.25
201608,87.9,1.25
201609,88,1.25
201610,88.2,1.25
201611,88.3,1.25
201612,88.4,1.25
201701,88.4,1.25
201702,88.4,1.25
201703,88.4,1.25
201704,88.5,1.25
201705,88.6,1.25
201706,88.8,1.25
201707,89,1.25
201708,89.2,1.25
201709,89.3,1.25
201710,89.4,1.25
201711,89.6,1.50
201712,89.7,1.50
201801,89.8,1.50
201802,90,1.50
201803,90.1,1.50
201804,90.1,1.50
201805,90.1,1.50
201806,90.1,1.50
201807,90.1,1.50
201808,90.1,1.50
201809,90.4,1.50
201810,90.5,1.50
201811,90.7,1.75
201812,90.6,1.75
201901,90.5,1.75
201902,90.4,1.75
201903,90.3,1.75
201904,90.1,1.75
201905,89.9,1.75
201906,89.8,1.75
201907,89.7,1.50
201908,89.7,1.50
201909,89.7,1.50
201910,89.8,1.25
201911,90,1.25
201912,90.3,1.25
202001,90.6,1.25
202002,90.9,1.25
202003,91.4,0.75
202004,91.6,0.75
202005,91.7,0.50
202006,92.1,0.50
202007,92.7,0.50
202008,93.1,0.50
202009,93.5,0.50
202010,93.8,0.50
202011,94.3,0.50
202012,95.2,0.50
202101,95.9,0.50
202102,96.8,0.50
202103,97.5,0.50
202104,98.2,0.50
202105,98.9,0.50
202106,100,0.50
202107,100.9,0.50
202108,101.8,0.75
202109,102.8,0.75
202110,103.7,0.75
202111,104.3,1.00
202112,104.6,1.00
202201,104.7,1.25
202202,104.8,1.25
202203,104.8,1.25
202204,104.8,1.50
202205,104.8,1.75
202206,104.8,1.75
202207,104.8,2.25
202208,104.5,2.50
