"행정구역별(시군구)",2015,2016,2017,2018,2019,2020,2021
"행정구역별(시군구)",빈집비율(A÷B×100) (%),빈집비율(A÷B×100) (%),빈집비율(A÷B×100) (%),빈집비율(A÷B×100) (%),빈집비율(A÷B×100) (%),빈집비율(A÷B×100) (%),빈집비율(A÷B×100) (%)
"전국",6.5,6.7,7.4,8.1,8.4,8.2,7.4
"읍부",8.8,9.3,10.8,11.6,12.3,11.8,10.6
"면부",13.8,13.4,14.3,15.3,15.5,15.1,14.5
"동부",5.1,5.3,5.9,6.5,6.8,6.6,6.0
"서울특별시",2.8,3.3,3.3,3.2,3.2,3.2,3.2
"부산광역시",7.4,7.3,7.9,8.1,8.8,8.9,7.9
"대구광역시",4.0,4.9,5.6,5.2,5.1,4.8,4.4
"인천광역시",5.0,5.5,5.9,6.5,6.5,6.4,6.0
"광주광역시",5.5,5.9,6.6,7.2,7.5,7.7,6.2
"대전광역시",5.6,5.5,5.6,6.1,6.0,5.4,5.2
"울산광역시",6.0,5.8,7.2,7.7,8.5,7.7,7.4
"세종특별자치시",20.3,11.7,13.7,12.0,12.4,10.5,9.2
"경기도",3.9,4.4,4.9,6.0,6.4,6.1,5.3
"강원도",10.4,9.7,10.6,12.0,13.4,13.1,12.3
"충청북도",9.9,9.9,10.5,12.3,12.4,12.0,10.8
"충청남도",9.8,10.3,11.4,12.7,12.7,12.3,11.1
"전라북도",10.8,10.6,11.1,12.2,12.6,12.9,11.9
"전라남도",13.8,13.5,14.3,15.3,15.5,15.2,14.3
"경상북도",10.9,10.7,12.2,12.9,13.3,12.8,11.8
"경상남도",8.7,8.6,10.1,10.7,11.6,11.6,10.6
"제주특별자치도",9.5,10.4,12.9,14.0,15.1,14.2,13.0
