"행정구역별",2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"행정구역별",인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건),인구 천명당 범죄발생건수<br>(A÷B×1000) (건)
"전국",39.7,34.7,34.0,36.2,40.6,39.6,34.4,33.6,34.3,35.3,34.4,35.6,35.2,31.6,29.8,30.3,29.8,26.8
"서울특별시",38.6,34.5,34.1,34.9,38.5,39.7,33.8,35.0,35.2,36.3,35.2,35.6,34.6,32.5,31.6,31.8,30.6,27.1
"부산광역시",38.6,30.3,33.5,37.8,46.1,48.0,35.7,35.6,37.2,37.9,38.0,40.0,36.9,33.6,32.1,33.1,33.5,30.0
"대구광역시",45.9,36.9,35.9,38.0,42.8,39.2,38.4,38.4,39.1,38.4,38.4,39.8,34.7,30.3,29.4,31.1,29.9,28.5
"인천광역시",40.0,38.3,39.4,37.3,39.6,38.3,30.8,29.6,31.6,33.1,32.5,34.1,34.1,31.0,29.2,30.6,30.0,26.0
"광주광역시",48.2,44.8,40.5,42.3,43.4,43.0,42.6,43.5,45.8,46.1,43.9,41.6,36.9,32.9,29.9,30.4,30.0,27.3
"대전광역시",40.9,35.2,31.5,34.7,35.9,36.7,32.6,31.3,29.6,31.6,31.1,32.7,32.4,31.3,30.6,30.6,30.5,27.5
"울산광역시",45.1,33.6,35.1,40.1,40.1,41.1,36.7,32.5,32.6,35.3,35.3,38.0,33.9,30.0,28.4,28.6,27.6,25.9
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.9,17.6,16.0
"경기도",36.0,32.0,31.4,33.7,42.9,38.8,30.4,31.0,31.9,32.9,32.7,34.4,37.5,32.4,29.7,29.8,29.4,26.3
"강원도",45.0,40.4,38.5,41.5,39.9,39.2,37.4,35.8,38.4,38.0,34.8,36.7,37.9,34.3,29.3,29.9,28.9,25.7
"충청북도",43.0,38.0,35.2,40.4,41.6,38.6,35.1,30.9,32.2,33.1,32.2,33.9,35.3,31.6,30.2,30.1,29.9,27.2
"충청남도",40.4,38.2,34.6,36.5,36.5,36.2,34.2,30.0,31.5,32.5,32.1,32.1,30.8,28.1,28.1,29.5,29.0,25.6
"전라북도",34.6,31.6,31.1,30.5,32.8,33.9,33.0,31.3,33.2,32.0,30.3,30.7,28.6,26.4,26.1,26.5,26.3,24.4
"전라남도",37.8,35.2,33.6,36.7,37.8,37.1,37.2,33.3,33.1,34.5,33.2,34.9,33.0,28.4,27.1,28.2,27.8,26.4
"경상북도",43.5,34.2,33.7,36.5,39.6,39.1,36.8,33.5,34.5,36.4,32.9,34.0,32.6,29.7,27.8,29.1,27.9,25.0
"경상남도",40.4,33.6,32.8,38.9,41.9,40.5,39.0,36.4,33.8,35.0,33.5,35.3,33.9,29.8,26.8,28.6,29.3,26.5
"제주특별자치도",53.3,45.3,44.0,41.3,48.4,42.8,44.3,42.9,45.0,52.6,51.5,54.2,54.6,47.7,41.1,38.9,40.2,37.7
