price,daycared,builtyear,size
70900,2200,1999,59.04
72000,2200,1999,59.86
72800,2200,1999,59.86
73000,2200,1999,59.04
73000,2200,1999,59.86
74300,2200,1999,59.86
75000,2200,1999,59.86
75700,2200,1999,59.04
77500,2200,1999,59.86
78500,2200,1999,59.86
80000,2200,1999,59.04
81500,2200,1999,59.04
81500,2200,1999,59.04
86500,2200,1999,84.72
87000,2200,1999,84.72
88000,2200,1999,84.72
88650,2200,1999,84.72
88800,2200,1999,84.72
89000,2200,1999,84.72
93000,2200,1999,84.72
66000,2100,1987,59.99
78000,2100,1998,56.04
83000,2100,1987,65.34
90000,2100,1987,65.34
185000,2100,1998,84.86
185000,2100,1998,114.78
206000,2100,1998,114.78
215000,2100,1998,114.78
215000,2100,1998,114.78
216000,2100,1998,114.78
