년월,원달러환율
200401,"1,173.70"
200402,"1,176.20"
200403,"1,146.60"
200404,"1,173.30"
200405,"1,160.10"
200406,"1,155.50"
200407,"1,170.00"
200408,"1,153.00"
200409,"1,151.80"
200410,"1,119.60"
200411,"1,048.20"
200412,"1,035.10"
200501,"1,025.60"
200502,"1,006.00"
200503,"1,015.50"
200504,"1,002.80"
200505,"1,007.70"
200506,"1,025.40"
200507,"1,026.80"
200508,"1,038.50"
200509,"1,041.10"
200510,"1,040.20"
200511,"1,033.50"
200512,"1,011.60"
200601,964.6
200602,970.9
200603,971.6
200604,943.4
200605,945.6
200606,948.9
200607,955.2
200608,961.4
200609,946.2
200610,942.3
200611,929.5
200612,929.8
200701,941
200702,941.8
200703,940.9
200704,930.8
200705,927.7
200706,923.8
200707,919.3
200708,938.3
200709,915.1
200710,900.7
200711,921.1
200712,936.1
200801,943.9
200802,939
200803,990.4
200804,"1,002.60"
200805,"1,030.10"
200806,"1,046.00"
200807,"1,012.20"
200808,"1,089.00"
200809,"1,207.00"
200810,"1,291.00"
200811,"1,469.00"
200812,"1,259.50"
200901,"1,379.50"
200902,"1,534.00"
200903,"1,383.50"
200904,"1,282.00"
200905,"1,255.00"
200906,"1,273.90"
200907,"1,228.50"
200908,"1,248.90"
200909,"1,178.10"
200910,"1,182.50"
200911,"1,162.80"
200912,"1,164.50"
201001,"1,161.80"
201002,"1,160.00"
201003,"1,131.30"
201004,"1,108.40"
201005,"1,202.50"
201006,"1,222.20"
201007,"1,182.70"
201008,"1,198.10"
201009,"1,140.20"
201010,"1,125.30"
201011,"1,159.70"
201012,"1,134.80"
201101,"1,121.50"
201102,"1,128.70"
201103,"1,096.70"
201104,"1,071.50"
201105,"1,079.20"
201106,"1,067.70"
201107,"1,054.50"
201108,"1,066.80"
201109,"1,178.10"
201110,"1,110.00"
201111,"1,143.00"
201112,"1,151.00"
201201,"1,123.00"
201202,"1,118.00"
201203,"1,133.00"
201204,"1,130.00"
201205,"1,180.00"
201206,"1,145.00"
201207,"1,130.00"
201208,"1,134.00"
201209,"1,111.40"
201210,"1,090.70"
201211,"1,082.90"
201212,"1,070.60"
201301,"1,089.00"
201302,"1,083.00"
201303,"1,111.00"
201304,"1,101.00"
201305,"1,129.70"
201306,"1,142.00"
201307,"1,123.50"
201308,"1,110.00"
201309,"1,074.70"
201310,"1,060.70"
201311,"1,058.20"
201312,"1,055.40"
201401,"1,070.40"
201402,"1,067.50"
201403,"1,064.70"
201404,"1,033.20"
201405,"1,020.10"
201406,"1,011.80"
201407,"1,027.90"
201408,"1,014.00"
201409,"1,055.20"
201410,"1,068.50"
201411,"1,107.90"
201412,"1,099.30"
201501,"1,093.50"
201502,"1,098.40"
201503,"1,109.50"
201504,"1,072.40"
201505,"1,108.20"
201506,"1,115.50"
201507,"1,170.00"
201508,"1,182.50"
201509,"1,185.30"
201510,"1,140.10"
201511,"1,158.10"
201512,"1,172.50"
201601,"1,199.10"
201602,"1,236.70"
201603,"1,143.50"
201604,"1,139.30"
201605,"1,191.70"
201606,"1,151.80"
201607,"1,120.20"
201608,"1,114.80"
201609,"1,101.30"
201610,"1,144.50"
201611,"1,169.10"
201612,"1,207.70"
201701,"1,162.10"
201702,"1,130.70"
201703,"1,118.40"
201704,"1,137.90"
201705,"1,119.50"
201706,"1,144.10"
201707,"1,119.00"
201708,"1,127.80"
201709,"1,145.40"
201710,"1,120.40"
201711,"1,088.20"
201712,"1,070.50"
201801,"1,067.90"
201802,"1,082.80"
201803,"1,063.50"
201804,"1,068.00"
201805,"1,077.70"
201806,"1,114.50"
201807,"1,118.70"
201808,"1,112.90"
201809,"1,109.30"
201810,"1,139.60"
201811,"1,121.20"
201812,"1,115.70"
201901,"1,112.70"
201902,"1,124.70"
201903,"1,135.10"
201904,"1,168.20"
201905,"1,190.90"
201906,"1,154.70"
201907,"1,183.10"
201908,"1,211.20"
201909,"1,196.20"
201910,"1,163.40"
201911,"1,181.20"
201912,"1,156.40"
202001,"1,191.80"
202002,"1,213.70"
202003,"1,217.40"
202004,"1,218.20"
202005,"1,238.50"
202006,"1,203.00"
202007,"1,191.30"
202008,"1,187.80"
202009,"1,169.50"
202010,"1,135.10"
202011,"1,106.50"
202012,"1,086.30"
202101,"1,118.80"
202102,"1,123.50"
202103,"1,131.80"
202104,"1,112.30"
202105,"1,110.90"
202106,"1,126.10"
202107,"1,150.30"
202108,"1,159.50"
202109,"1,184.00"
202110,"1,168.60"
202111,"1,187.90"
202112,"1,188.80"
202201,"1,205.50"
202202,"1,202.30"
202203,"1,212.10"
202204,"1,255.90"
202205,"1,237.20"
202206,"1,298.40"
202207,"1,299.10"
202208,"1,337.60"
202209,"1,430.20"
202210,"1,424.30"
202211,"1,318.80"
202212,"1,264.50"
202301,"1,227.40"
